Reference, Value, Footprint, Datasheet
"M1","OSHW-LOGOS","Symbols:OSHW-Logo2_7.3x6mm_SilkScreen","","",""
"U1","DMMT5401","TO_SOT_Packages_SMD:SOT-23-6","","",""
"R52","47k","Resistors_SMD:R_0805","","",""
"R53","47K","Resistors_SMD:R_0805","","",""
"D10","STPS1L30A","Diodes_SMD:SMA_Standard","","",""
"R59","10k","Resistors_SMD:R_0805","","",""
"R58","1k","Resistors_SMD:R_0805","","",""
"P2","PowerOff","Connectors_JST:JST_EH_B02B-EH-A_02x2.50mm_Straight","","",""
"IC5","ADC_ADS1115","Housings_SSOP:MSOP-10_3x3mm_Pitch0.5mm","","",""
"C15","100nF","Capacitors_SMD:C_0805","","",""
"L3","KNH16C104DA5TS","dronpi:KYOCERA-KNH16-DA","","",""
"L4","KNH16C104DA5TS","dronpi:KYOCERA-KNH16-DA","","",""
"R16","10K/0.1%","Resistors_SMD:R_0805","","",""
"R14","10K/0.1%","Resistors_SMD:R_0805","","",""
"R18","10K/0.1%","Resistors_SMD:R_0805","","",""
"R17","10K/0.1%","Resistors_SMD:R_0805","","",""
"R13","1M","Resistors_SMD:R_0805","","",""
"R19","10K/0.1%","Resistors_SMD:R_0805","","",""
"R12","1M","Resistors_SMD:R_0805","","",""
"R15","10K/0.1%","Resistors_SMD:R_0805","","",""
"R55","10K/0.1%","Resistors_SMD:R_0805","","",""
"R56","10K/0.1%","Resistors_SMD:R_0805","","",""
"ADC1","CONN_01X02","Connectors_JST:JST_EH_B02B-EH-A_02x2.50mm_Straight","","",""
"IC2","MPU-9250","Housings_DFN_QFN:QFN-24-1EP_3x3mm_Pitch0.4mm","","",""
"C13","2u2","Capacitors_SMD:C_0805","","",""
"C11","100nF","Capacitors_SMD:C_0805","","",""
"C12","10nF","Capacitors_SMD:C_0805","","",""
"IC3","MS5611-01BA","Tinkerforge:MS5611","","",""
"C14","100nF","Capacitors_SMD:C_0805","","",""
"D7","LED_verde","LEDs:LED_0603","","",""
"D8","LED_azul","LEDs:LED_0603","","",""
"R34","680","Resistors_SMD:R_0805","","",""
"R35","680","Resistors_SMD:R_0805","","",""
"R36","820","Resistors_SMD:R_0805","","",""
"D9","PESD0402-140","Capacitors_SMD:C_0402","","",""
"L7","KNH16C104DA5TS","dronpi:KYOCERA-KNH16-DA","","",""
"IC9","MCP2551","SMD_Packages:SOIC-8-N","","",""
"C23","100nF","Capacitors_SMD:C_0805","","",""
"C21","100nF","Capacitors_SMD:C_0805","","",""
"R45","560","Resistors_SMD:R_0805","","",""
"R49","120R","Resistors_SMD:R_0805","","",""
"JP1","JUMPER","Connect:GS2","","",""
"CAN-Bus1","JST_4PIN","Connectors_JST:JST_EH_B04B-EH-A_04x2.50mm_Straight","","",""
"C22","22pF","Capacitors_SMD:C_0805","","",""
"C20","22pF","Capacitors_SMD:C_0805","","",""
"IC8","MCP2515","Tinkerforge:SOIC-18","","",""
"R46","560","Resistors_SMD:R_0805","","",""
"D11","verde","LEDs:LED_0603","","",""
"D12","Rojo","LEDs:LED_0603","","",""
"R48","1K","Resistors_SMD:R_0805","","",""
"R47","10K","Resistors_SMD:R_0805","","",""
"XT2","16Mhz","Crystals:HC-18UV","","",""
"BUZZER1","CONN_01X04","Connectors_JST:JST_EH_B02B-EH-A_02x2.50mm_Straight","","",""
"IC10","24AA32","Housings_SSOP:MSOP-8_3x3mm_Pitch0.65mm","","",""
"C24","100nF","Capacitors_SMD:C_0805","","",""
"R50","3K9","Resistors_SMD:R_0805","","",""
"R51","3k9","Resistors_SMD:R_0805","","",""
"D6","LED_rojo","LEDs:LED_0603","","",""
"JP2","JUMPER3","Connect:GS3","","",""
"R54","1K","Resistors_SMD:R_0805","","",""
"R44","18K","Resistors_SMD:R_0805","","",""
"R57","10k","Resistors_SMD:R_0805","","",""
"D14","LED_naranja","LEDs:LED_0603","","",""
"R60","680","Resistors_SMD:R_0805","","",""
"IC6","PCA9685","Housings_SSOP:TSSOP-28_4.4x9.7mm_Pitch0.65mm","DOCUMENTATION","",""
"R22","220","Resistors_SMD:R_0805","","",""
"R23","220","Resistors_SMD:R_0805","","",""
"R24","220","Resistors_SMD:R_0805","","",""
"R29","220","Resistors_SMD:R_0805","","",""
"R28","220","Resistors_SMD:R_0805","","",""
"R27","220","Resistors_SMD:R_0805","","",""
"R26","220","Resistors_SMD:R_0805","","",""
"R25","220","Resistors_SMD:R_0805","","",""
"R20","10K","Resistors_SMD:R_0805","","",""
"R21","10K","Resistors_SMD:R_0805","","",""
"XT1","CRYSTAL_ASE-25mhz","dronpi:ASEseries","","",""
"C19","100nF","Capacitors_SMD:C_0805","","",""
"R39","220","Resistors_SMD:R_0805","","",""
"R38","220","Resistors_SMD:R_0805","","",""
"R37","220","Resistors_SMD:R_0805","","",""
"R40","220","Resistors_SMD:R_0805","","",""
"R41","220","Resistors_SMD:R_0805","","",""
"R42","220","Resistors_SMD:R_0805","","",""
"R43","220","Resistors_SMD:R_0805","","",""
"F2","0ZCA0035FF2G","Fuse_Holders_and_Fuses:Fuse_SMD1206_Wave","","",""
"IC12","SN74LVC1G07","Tinkerforge:SC70-5","","",""
"JP3","JUMPER3","Connect:GS3","","",""
"D13","PESD0402-140","Capacitors_SMD:C_0402","","",""
"R30","100","Resistors_SMD:R_0805","","",""
"IC11","MAX3370","Tinkerforge:SC70-5","","",""
"C25","100nF","Capacitors_SMD:C_0805","","",""
"P1","CONN_3X16","conector_3X16:IDC_Header_Straight_48pins","","",""
"R4","120R","Resistors_SMD:R_0805","","",""
"R3","120R","Resistors_SMD:R_0805","","",""
"R1","120R","Resistors_SMD:R_0805","","",""
"R2","120R","Resistors_SMD:R_0805","","",""
"D3","PESD0402-140","Capacitors_SMD:C_0402","","",""
"L5","KNH16C104DA5TS","dronpi:KYOCERA-KNH16-DA","","",""
"USART5","JST_6PIN","Connectors_JST:JST_EH_B06B-EH-A_06x2.50mm_Straight","","",""
